Name,City,Price_Range
Happy Blender,Athens,1
Divino Wine Case,Athens,2
Guarantee,Athens,1
Bandiera,Athens,1
Cafe-Bar 67,Athens,1
Epireia,Athens,2
Barreldier,Athens,2
Asia - Mikra Asia pagrati,Athens,1
Acropol Vintage Cafe,Athens,2
G Cafe Bar,Athens,2
BAR 56,Athens,2
Acropaul's,Athens,2
Holy Moly Coffee & Burger,Athens,1
Frankie,Athens,2
Giorgos-Manos,Athens,1
Artopoleion,Athens,1
I Kriti,Athens,1
F Cafe,Athens,1
Gh,Athens,1
Flaneur,Athens,1
18 The Joint,Athens,2
1935 Mezedopoleio,Athens,2
Grill & Pita,Athens,1
Barreldier,Athens,1
Antonis Cafe,Athens,1
Cats,Athens,2
Fago-Potion,Athens,2
Asymmetpo,Athens,2
Handmade,Athens,2
Dennis Donuts,Athens,1
Fish Bar,Athens,4
En Tram Tsipouradiko,Athens,2
Homesick cafe-bar,Athens,1
Gasoline Bar,Athens,1
Fresh Sushi Bar,Athens,2
Ambrosia - The Refreshment Bar,Athens,1
Chartreuse Cafeteria-Bar,Athens,1
Butchers Fine Foods Stratos,Athens,2
Blavis,Barcelona,2
Argentinisimo,Barcelona,1
Apribocca - Italian restaurant,Barcelona,2
Atelier Pan&Cook,Barcelona,2
Ascanio of Sense Coberts,Barcelona,2
AmoVino,Barcelona,2
Bar Santa Fe,Barcelona,1
Admir,Barcelona,2
Bar Can Sergi,Barcelona,2
Bar Can Santi,Barcelona,2
Almalibre Acai Bar,Barcelona,1
Alive Restaurant,Barcelona,2
Apat,Barcelona,2
Bar Sauvage,Barcelona,2
Acero,Barcelona,2
Bar Viu,Barcelona,2
A2 Restaurant,Barcelona,2
A CASA MIA da Gigi e Danilo,Barcelona,2
Balabar,Barcelona,1
Bar Pietro,Barcelona,2
Angels & Carmen of Foodie Sisters,Barcelona,2
Barbiturik BCN,Barcelona,1
Apetito,Barcelona,2
Asian Restaurant,Barcelona,1
Ale ale cafe,Barcelona,1
Bar-celona cafe,Barcelona,1
Bar Okinawa,Barcelona,2
Alain Pizza,Barcelona,1
52 Cafe,Barcelona,1
Bar Bodega Montse,Barcelona,1
Barrigo Bar Vermut i Tapes,Barcelona,2
Bistrot Levante,Barcelona,2
Bar Restaurante 0086,Barcelona,4
Barcelona Food Makers,Barcelona,1
Bloody Mary Cocktail & Tapas,Barcelona,2
Beef Bull Club,Barcelona,4
BdGust Restaurant & Cocktail,Barcelona,2
Bar Pipa,Barcelona,1
Bar Restaurante La Xicoia,Barcelona,2
Bellako Gastro Kebab,Barcelona,2
Bar Restaurante El Rincon,Barcelona,2
Bardelona,Barcelona,1
Bar 134,Barcelona,2
Biscuit,Barcelona,2
Bavaria Blue,Barcelona,2
Amics al Cafe,Barcelona,2
BAR Modern,Barcelona,1
BeBo Cold Press,Barcelona,2
Blitzbar,Barcelona,1
Ambrosia,Barcelona,2
Atrium,Barcelona,1
Angela Bertoni Pasta Fresca des de 1965,Barcelona,2
Barramon,Barcelona,2
Bar Bomberos,Barcelona,2
Azul Frida,Barcelona,2
Namaste,Berlin,2
Begur - Cuina Catalana,Berlin,2
BAO Vietnamese Cooking,Berlin,1
BBB Restaurant,Berlin,2
Bulbul Berlin,Berlin,1
Cafe Jenseits,Berlin,1
Biscotti,Berlin,2
Bahadur,Berlin,1
Avocai Food and Pilates Studio,Berlin,2
"CAFE Gestern, Heute & Morgen",Berlin,2
Antipasteria Garbatella,Berlin,2
Atayacaffe,Berlin,1
1687 Restaurant & Cafe,Berlin,4
+84 Vegan Restaurant,Berlin,1
Bata Bar & Billiards,Berlin,2
Brick,Berlin,1
Cafe Mugrabi,Berlin,1
B.horn,Berlin,2
Bruno,Berlin,2
Ben Thanh,Berlin,1
Babbo bar,Berlin,2
Arom Di Thai & Sushi,Berlin,2
Beef Bull Club,Berlin,2
Cafe Barbucha,Berlin,2
Bistro Faunesse,Berlin,1
Berlin Bistro Pomelo Tree,Berlin,1
Cafe Fantone,Berlin,2
Alin Gaza Kitchen,Berlin,1
Bar&Pizzeria Da Gelo,Berlin,2
Cafe Hygge,Berlin,1
Adana Royale Grill Kitchen,Berlin,4
Board'Eau,Berlin,1
Cafe Eigenzeit,Berlin,1
Cafe Bar Central,Berlin,2
Arata Sushi,Berlin,1
Auszeit Restaurant,Berlin,2
Cafe Mimosa,Berlin,2
Cafe Amitie,Berlin,2
Cafe Frida,Berlin,1
Cafe & Bar norah,Berlin,2
Cafe Nazca,Berlin,2
Beste Bar,Berlin,1
Babuschka,Berlin,1
Bonbon Bar,Berlin,4
Borso Die Ungarische Speisekammer,Berlin,1
Berliner Feinkost Fraktion,Berlin,1
Best Kosher Oriental,Berlin,1
Cafe Klangwerk,Berlin,1
Bar Kaffeepur,Berlin,1
Arirang,Berlin,1
Bar a Vin,Berlin,2
Blacklist Bar Berlin,Berlin,4
Ammazza che Pizza,Berlin,2
Bao An,Berlin,1
Casa Italia,Berlin,2
Casa Italia,Berlin,1
Roxor BRGR & Beer,Bratislava,1
Albrecht,Bratislava,4
17's BAR,Bratislava,1
Drak&Finch,Bratislava,1
Simply Fresh Restaurant,Bratislava,2
Antica Toscana,Bratislava,2
Nobile Restaurant,Bratislava,2
Samovar,Bratislava,2
Petite Creperie - take away crepes,Bratislava,1
Foodstock Bratislava,Bratislava,2
Don Saro Cucina Siciliana,Bratislava,2
Antique American Bar,Bratislava,2
Baroza Restaurant & Bistro,Bratislava,4
La Ventura,Bratislava,2
Cajovna v Podzemi - Underground Tea Room,Bratislava,1
Iasai,Bratislava,2
Moree,Bratislava,2
Osud Wine Bar,Bratislava,1
Ako doma,Bratislava,2
DQ Bistro Polievocka,Bratislava,2
Balans Bistro,Bratislava,1
Meat and Beer,Bratislava,2
Akiko Sushi Bar,Bratislava,2
Veggie,Bratislava,1
Trojka Bistro,Bratislava,1
Cafe del via,Bratislava,1
TESLA Coffee & Bar,Bratislava,1
American Bistro,Bratislava,2
Chilantro Garden Bar,Bratislava,1
Pomazankovo,Bratislava,1
mini BAR by SPIN,Bratislava,1
100 Piv - Beer Shop & Bar,Bratislava,2
Food 2.0,Bratislava,2
Bamboo Snp,Bratislava,2
Vinopolitan,Bratislava,2
Kraken Cafe&Bar,Bratislava,1
Jedna basen - Dlhe Diely,Bratislava,1
CREPES KISS bistro,Bratislava,1
CORK Taste & Shop,Bratislava,1
Nase hospoda Machnac,Bratislava,2
Moco Choco,Bratislava,1
U Dobreho Pastiera,Bratislava,1
SVAG TO GO,Bratislava,1
Paleta - Wine bar,Bratislava,1
Don Papa Bar,Bratislava,2
Randevu Bistro,Bratislava,2
Bamboo Sushi,Bratislava,2
Moare,Bratislava,2
Trunk Wine Gallery,Bratislava,1
Alibi Music Bar & Lounge,Bratislava,1
Le Rabassier,Brussels,4
Tonton Garby,Brussels,1
Chez Bobonne,Brussels,2
Sir Hanry's,Brussels,2
Le Barboteur - Bierotheque -,Brussels,2
Life is Beautiful - Cocktail Bar,Brussels,2
Samahuma Brussels Juice & Superfood,Brussels,2
A Table,Brussels,2
Le mangeoire maison gourmande,Brussels,2
Les 4 jeudis,Brussels,2
Mex y Co - Brussels Expo,Brussels,1
Brasserie Des Allies,Brussels,2
Atrium,Brussels,2
Le Palais De Balkis,Brussels,2
Mike & Becky,Brussels,2
H&k's,Brussels,2
Au Vieux Marche,Brussels,2
Snack De Wand,Brussels,1
Les Dodi,Brussels,1
Le Iene,Brussels,2
Bruno,Brussels,1
Le Altre Delizie,Brussels,2
Al Bacio,Brussels,2
Claire Fontaine,Brussels,2
Gyozaria - Harry Suzuki,Brussels,2
La Cucina Delle Zie,Brussels,2
Atleta,Brussels,2
Enjoy,Brussels,2
Fourchette a Bicyclette,Brussels,2
Domenica,Brussels,2
Gustine,Brussels,1
Au Fil des Saveurs,Brussels,2
Cocorico,Brussels,1
Le Local,Brussels,2
Renard Bakery,Brussels,2
Hibiscus,Brussels,1
La Tavernetta,Brussels,2
Hanaya Sushi Restaurant,Brussels,2
Le Gourmet,Brussels,1
"C-TOF Waffles, Ice cream & Coffee Corner",Brussels,1
Le Gland,Brussels,2
La bonne table,Brussels,2
L'Equilibre,Brussels,1
Le Duo,Brussels,1
Pizza Galia,Brussels,2
C Bon,Brussels,2
Atlasresto,Brussels,1
EXKi Madou,Brussels,2
Pasta-cup,Brussels,1
City Snack,Brussels,1
New York Junior Chez Yorg,Brussels,1
Les Saveurs du Soleil,Brussels,2
Le Parloir,Brussels,2
Pizzicato,Brussels,2
Snack Athenes,Brussels,1
Al Campanile,Brussels,2
The Living,Brussels,2
Comme Chez Soi,Budapest,2
Bors GasztroBar,Budapest,1
Eat & Meet,Budapest,2
Caviar&Bull,Budapest,4
Don Pepe Menyecske,Budapest,2
Buddies Burger,Budapest,1
Hoppacska,Budapest,1
Cyrano,Budapest,4
Gyros Kerkyra Etelbar,Budapest,1
Csak a Jo Sor,Budapest,1
Casa Pomo d'Oro,Budapest,2
Doc Vino Bar,Budapest,2
Fama Budapest,Budapest,4
Istvanffi Veggie Burger,Budapest,1
Felni BeerBistro,Budapest,2
Farmbistro - Pest,Budapest,1
Edison Bar & Ink,Budapest,1
Cose Nostre,Budapest,1
GluteNo,Budapest,1
Black Swan Budapest,Budapest,2
Farmbistro-Buda,Budapest,1
Borkoltok Tarsasaga Pinceetterem,Budapest,2
Golvonal Bisztro,Budapest,2
Fat Angel Pub,Budapest,1
Hokedli,Budapest,1
Banh Mi Bistro,Budapest,1
Chefparade,Budapest,2
Gorbe Bogre Cafe,Budapest,2
827 Speciality Kitchen - vegan restaurant,Budapest,4
Gyuri bacsi Konyhaja,Budapest,1
Budapest,Budapest,1
Hecserli Cafe,Budapest,2
Fannicika Bar & Bistro,Budapest,1
Food Truck Udvar,Budapest,1
Finom Falat Etelbar,Budapest,1
"""52"" Bistro Restauarnt and Bar",Budapest,2
Cafe des Arts & Innovation,Budapest,2
Barczy Bagel,Budapest,1
Cafe New Orleans Budapest,Budapest,1
Csaphaz Bartok,Budapest,1
Creppy CafeCino Bar & Restaurant,Budapest,2
HelloAnyu! Family-friendly Community Space and Cafe,Budapest,2
Jezsek Cukraszda,Budapest,1
Balatonizlelo,Budapest,2
Gomb Kavezo,Budapest,2
Jolan Neni Konyhaja,Budapest,1
Anyu Soup,Budapest,1
Cafe Memories,Budapest,1
Find Food,Budapest,1
Bonjour Cafe,Budapest,1
Arnoldo Gallery and Cafe,Budapest,1
Grams Laekkerier (closed to 8. jan.),Copenhagen,1
Pizzeria MaMeMi WestMarket,Copenhagen,1
Banana Joe,Copenhagen,1
Marv & Ben,Copenhagen,4
Host,Copenhagen,4
Cafe Komplet,Copenhagen,2
Alchemist,Copenhagen,4
Garden Restaurant & Bar,Copenhagen,2
Bowl Market Copenhagen,Copenhagen,2
Madbaren Marmorkirken,Copenhagen,1
P eatery,Copenhagen,2
Cafe Feel Good,Copenhagen,2
Hey Darling,Copenhagen,2
Falafel Factory,Copenhagen,1
GONZO,Copenhagen,2
Hachi Sushi,Copenhagen,2
GROS,Copenhagen,1
Pizzicato,Copenhagen,1
Gnam Gnam Pasta & Sweets,Copenhagen,1
Kewei's Kitchen,Copenhagen,2
Banh Mi,Copenhagen,1
K96,Copenhagen,1
Mums Deli,Copenhagen,1
Parma & Pasta City 2,Copenhagen,1
Guilty Copenhagen,Copenhagen,2
Goga's Kaffebar,Copenhagen,2
Kaf' Bar,Copenhagen,1
Bar 25,Copenhagen,2
Cousins,Copenhagen,2
Cafe Ristet Rug,Copenhagen,2
H3 Fiskerestaurant,Copenhagen,4
Perbacco,Copenhagen,2
Ancestrale,Copenhagen,2
Rays,Copenhagen,1
Kodbyens IS,Copenhagen,1
Det Argentinske Vinhus Vinos Los Andes,Copenhagen,2
Munchies,Copenhagen,1
La Tigella,Copenhagen,2
Graesk Smag,Copenhagen,1
Omakase,Copenhagen,2
Den Fede Kylling,Copenhagen,4
Hot Pot Republic,Copenhagen,2
Chela Empanadas Aps,Copenhagen,2
Djuus Copenhagen,Copenhagen,2
Kod & Bajer,Copenhagen,1
Lillian's Smorresbord,Copenhagen,1
Crazy Chips-Fish&Chips,Copenhagen,1
Dinewithus,Copenhagen,4
Egils Deli,Copenhagen,2
Cafe Julia & Safija,Copenhagen,2
Le Gourmand,Copenhagen,2
HYLDE cph,Copenhagen,1
Den Go'e Kaffebar,Copenhagen,2
Lavanda Restaurant,Dublin,2
Tang Cafe,Dublin,1
Amuse Restaurant,Dublin,4
Fahrenheit Restaurant,Dublin,4
Boco Bar + Oven,Dublin,2
Heron & Grey,Dublin,4
El Grito,Dublin,1
Aperitivo,Dublin,1
Avalon Restaurant,Dublin,2
Mt. Everest of Kathmandu,Dublin,2
Hemmingways,Dublin,2
Lisle Three Restaurant,Dublin,2
Host,Dublin,2
Dining Room at the Ariel House,Dublin,2
Ernesto's,Dublin,1
Shouk,Dublin,2
The Merry Cobbler,Dublin,2
Kyoto Asian Street Food,Dublin,1
Tadka House,Dublin,2
Catherine's Cafe,Dublin,1
The Strawberry Hall,Dublin,1
Dall'Italia Pasta Bar,Dublin,1
El Patron,Dublin,1
Murray's Inn,Dublin,2
Kundan Tandoori,Dublin,2
DELISUZ,Dublin,1
Masala Killiney,Dublin,2
Assassination Custard,Dublin,1
Scrumptious,Dublin,1
The Igo Inn,Dublin,2
One Bistro,Dublin,2
Midnight Express,Dublin,1
Mulligan and Haines,Dublin,2
Honey Truffle,Dublin,1
Hot Bubble Cafe,Dublin,1
Sbarro,Dublin,1
Network,Dublin,1
Fox and Feather,Dublin,1
Skinny Batch,Dublin,1
Presto,Dublin,1
Banyi Noodles & Tapas,Dublin,2
Spice Cove,Dublin,2
Tasty Options,Dublin,1
Boca Cafe,Dublin,1
The Blossom Tree Cafe,Dublin,1
Perpetua Power Station,Dublin,1
Flavour of Italy,Dublin,2
Pizzicato,Dublin,1
A Table,Dublin,2
Cross Cafe,Dublin,1
MoonSoon Restaurant & Gallery,Dublin,2
Quick Pizza and Peri Peri Chicken,Dublin,1
Oscars Cafe,Dublin,1
Bronze,Dublin,4
Arch Cafe,Dublin,1
Munchies,Dublin,1
Namaste India,Dublin,1
Forage & Chatter,Edinburgh,2
Aizle,Edinburgh,4
Colonnades at The Signet Library,Edinburgh,4
Bijou,Edinburgh,2
Gannet and Guga,Edinburgh,1
Fahrenheit Restaurant,Edinburgh,2
Gaia Delicatessan,Edinburgh,1
Italian on the Mound,Edinburgh,1
Chizuru Tei,Edinburgh,2
Edinburgh Food Studio,Edinburgh,4
Deli Fresco,Edinburgh,1
Goya23,Edinburgh,2
Aurora,Edinburgh,2
Anteaques,Edinburgh,2
Art and Vintage,Edinburgh,2
Happy Bean Cafe,Edinburgh,1
GF,Edinburgh,1
El Paso Tapas Bar,Edinburgh,2
Century General Store & Cafe,Edinburgh,1
Baget Stuffed,Edinburgh,1
Embo Delicatessen,Edinburgh,1
Bar a Vin,Edinburgh,2
@Pizza,Edinburgh,1
3 Coins,Edinburgh,1
Daneli's Deli,Edinburgh,1
Enjoy,Edinburgh,2
Five Degrees Cafe,Edinburgh,1
Alplings,Edinburgh,1
Chameleon,Edinburgh,2
Colonial House,Edinburgh,2
181 Delicatessen,Edinburgh,2
Bacco Wine,Edinburgh,2
Indaba Deli,Edinburgh,1
Casa Amiga North Bridge Arcade,Edinburgh,1
Elmrose cafe&diner,Edinburgh,1
Java Moment,Edinburgh,1
Cafe Grille,Edinburgh,1
Jordan Valley,Edinburgh,1
Breadshare,Edinburgh,1
Enjoy - Gusto Italiano,Edinburgh,1
Dine Thyme,Edinburgh,1
Cafe Amalfi,Edinburgh,1
Cafe Bellina,Edinburgh,1
Cafe Klaris,Edinburgh,1
Breadstix,Edinburgh,1
Gerry's Cafe,Edinburgh,1
Cafe @ ONC,Edinburgh,1
Namaste,Edinburgh,2
Carington Mouse's Larder,Edinburgh,1
6s2Hit,Edinburgh,1
Barnacles & Bones,Edinburgh,1
2 Nice Cafe Shop,Edinburgh,1
Bayview,Geneva,4
Intensus,Geneva,4
Bistro de la Tour,Geneva,2
Fiskebar,Geneva,4
L'amazona,Geneva,1
Bai Toey Geneva,Geneva,2
La Table du Cotton,Geneva,4
Kozan Restaurant Japonais,Geneva,2
L'Aparte,Geneva,4
Au Jardin Bistrot,Geneva,2
La Tasca,Geneva,2
Tian Min Li,Geneva,2
22 Grand'rue,Geneva,2
Lemoncha,Geneva,1
Bang Yai,Geneva,2
Street Beirut,Geneva,2
La vie des champs,Geneva,2
5 Lounge Bar,Geneva,2
Al Amir,Geneva,1
La passione,Geneva,2
Barbershop Geneve,Geneva,2
Thai Twist,Geneva,2
Auberge des Vieux Chenes,Geneva,2
Au Chat Gourmand,Geneva,2
Addis-Abeba Cafe & Restaurant,Geneva,2
Auberge de Floris,Geneva,4
Ariston,Geneva,2
Al Quadrato,Geneva,2
Funky BBQ,Geneva,2
ADN bar,Geneva,4
Au Royaume de Jade,Geneva,2
Il Destino,Geneva,2
Bistrot Metropole,Geneva,2
Vanity,Geneva,2
Athenee 4,Geneva,2
Foound,Geneva,1
Erawan Take Away,Geneva,2
La Cuisine de Sue,Geneva,2
Swiss Croq',Geneva,2
Grenus - Coworking Cafe Voisins,Geneva,2
Boulangerie Tea-Room Cappuccino,Geneva,2
Au Cafe Restaurant des Lauriers,Geneva,2
Les Enfants Terribles,Geneva,2
Saveurs d'ici,Geneva,2
A Table,Geneva,2
Aux Deux Portes,Geneva,2
Come Prima,Geneva,2
Antep,Geneva,2
Au Petit Delice,Geneva,1
La Perle du Rhone,Geneva,2
Au Petit Comestible,Geneva,1
Artist's Pub,Geneva,2
Restaurant Hala,Hamburg,2
Helo Restaurant,Hamburg,2
Gassenhaur,Hamburg,2
Philipps Restaurant,Hamburg,2
Restaurant Haerlin,Hamburg,4
Heldenplatz Restaurant,Hamburg,4
NOM vietnamesisches Restaurant,Hamburg,1
Restaurant Beiti,Hamburg,2
Campus,Hamburg,2
Perle Restaurant,Hamburg,2
Public Coffee Roasters,Hamburg,1
Atlas,Hamburg,2
Isola d'Ischia,Hamburg,2
Elsa's Bistro,Hamburg,2
Liberty Eiscafe Und Bistro,Hamburg,1
Fischfeinkost Delikatessen des Meeres,Hamburg,1
Panaelme,Hamburg,2
Bizzo One,Hamburg,1
Alles Elbe,Hamburg,2
Le Cochinchine,Hamburg,2
Bacaro,Hamburg,2
Heisse Ecke Grill St. Pauli,Hamburg,1
Der Gyros-Spezialist,Hamburg,1
Bianc Restaurant,Hamburg,4
Genusshelden,Hamburg,1
Cafe Mimosa,Hamburg,2
Hansekai,Hamburg,2
Focacceria Apulia,Hamburg,1
Kuchenstund'- Gluck im Mund,Hamburg,1
Parissa's,Hamburg,2
Chavis Kulturcafe,Hamburg,1
Cafe du Port,Hamburg,1
Alexandros,Hamburg,2
Restaurant Hellas,Hamburg,2
Hafen-Klub Hamburg,Hamburg,4
BioKonditorei Eichel,Hamburg,2
Nakorn Luang Thai Restaurant,Hamburg,2
RAIN Cafeatery,Hamburg,2
Bunthaus Schankraum,Hamburg,1
Doner Pavillon,Hamburg,1
Hopper Braeu,Hamburg,1
Luv & Lee,Hamburg,1
Palastkueche,Hamburg,2
Calistoga Wine Saloon,Hamburg,2
El Buen Amigo,Hamburg,1
Cube Mia,Hamburg,2
Foodpecker Kitchen,Hamburg,2
Bianchini,Hamburg,2
Adele&Clodwig,Hamburg,1
Goedekens Kombuse,Hamburg,1
Chao_vietfood Restaurant,Hamburg,1
KULT Eis und Cafe,Hamburg,1
BLINIt Russian Restaurant,Helsinki,1
Baskeri & Basso,Helsinki,2
Ask,Helsinki,4
Aito,Helsinki,2
Sushi Wagocoro,Helsinki,2
Casa Italia,Helsinki,2
Atelje Finne,Helsinki,4
Dylan Marmoripiha,Helsinki,2
Cafe' Rouge,Helsinki,1
Raw 'n More Cafe,Helsinki,2
Bastion Bistro,Helsinki,2
Kalatukku E. Eriksson Oy,Helsinki,2
Bar Cafe Apero,Helsinki,2
Veggie,Helsinki,1
Basbas,Helsinki,2
Sunkosi Kitchen,Helsinki,2
Cafe Talo,Helsinki,2
Addis Ethiopian Kitchen,Helsinki,2
#Citypie - Fast Slow Food,Helsinki,1
Norilla Kahvila,Helsinki,2
Bar & Bistro Kiusaus,Helsinki,2
John's Coffee Shop,Helsinki,1
Presto,Helsinki,2
African Pots,Helsinki,1
Cafe Makiata,Helsinki,2
Casa Chipotle,Helsinki,1
Bar Base,Helsinki,2
Restaurant Laiska Karhu,Helsinki,2
Bumi Cafe,Helsinki,1
Mizu,Helsinki,2
Minilicious Tea & Caphe,Helsinki,1
Kaffecentralen Korkeavuorenkatu,Helsinki,1
Santino,Helsinki,1
KOKORO Sushi (Vallila),Helsinki,1
Bar Favela,Helsinki,2
AA Han Thai,Helsinki,1
Cafe Huvila,Helsinki,2
Bar Bakkari,Helsinki,2
Cafe Hemma,Helsinki,2
Going Greek,Helsinki,2
Hunaja Cafe Oy,Helsinki,2
La Soupe,Helsinki,1
Surote,Helsinki,1
Emoi,Helsinki,2
Bar Molotow,Helsinki,1
Sashi,Helsinki,1
Blondie Bakes,Helsinki,2
Beefy Queen,Helsinki,1
Cafe Monami,Helsinki,2
Cafe Taideterassi,Helsinki,2
Cafe Truffel,Helsinki,2
Bar Loose,Helsinki,2
Diyalo,Helsinki,2
Gossip Cafe,Krakow,2
Od Jajka Do Jablka,Krakow,2
Bistro Bene by Tomasz Lesniak,Krakow,2
M22 Beef'N'Chips,Krakow,1
Bottiglieria 1881,Krakow,4
Luna Siciliana,Krakow,1
Gruba Bula,Krakow,2
Gogo Burger,Krakow,1
Hummus Amamamusi Restaurant,Krakow,1
Marcelino Chleb i Wino,Krakow,2
Meat & Go,Krakow,1
Coffee Kiosk,Krakow,1
Jajownia,Krakow,1
Klub Wodki,Krakow,1
Makarun Sw. Tomasza,Krakow,1
Klub Stolarnia,Krakow,2
Paninoteca Vicenti,Krakow,1
Hariprasad Samosa&Curry,Krakow,1
Mama Didn't Lie,Krakow,1
Mandu,Krakow,1
Indalo Cafe,Krakow,1
Baza Pub,Krakow,1
PieRogi 2GO,Krakow,1
Atrium,Krakow,2
Ice Lab,Krakow,1
Bistro Beta,Krakow,2
Babbaluci,Krakow,2
Chez Nicholas,Krakow,2
Kawalerka,Krakow,1
Lunch Bar U Jedrusia,Krakow,1
Bel Mondo Ice Craem Craft,Krakow,2
Brasailenia,Krakow,2
O ja Cie Donacie,Krakow,1
Bistro GotuJemy,Krakow,1
House of Burger Krakow,Krakow,1
Che Bonta',Krakow,1
"""Bistro Antidotum""",Krakow,1
Chicken Cafe,Krakow,1
Eataway,Krakow,4
Bonita Pizzeria,Krakow,1
Garaz Food & Wine,Krakow,2
Pierwszy Stopien,Krakow,1
Amsterdam Chips,Krakow,1
Lili&Rose Chimney Cakes Bakery,Krakow,1
Fabryka Smaku,Krakow,1
Olimp K1,Krakow,1
Makarun Spaghetti and Salad,Krakow,1
Cup & Glass,Krakow,1
Limoncello,Krakow,1
Bar 25,Krakow,1
Airy-Fairy,Krakow,1
Estamine Art Food Drink,Lisbon,1
Frankie,Lisbon,1
BacoAlto,Lisbon,1
Limoncello,Lisbon,2
Darshan Nepal,Lisbon,1
Brooklyn,Lisbon,1
Dom Queijo Cheese House,Lisbon,2
Bowls&Bar,Lisbon,2
Beco a Serio,Lisbon,2
Bruta Flor,Lisbon,2
Cervejaria Artesanal Adamastor,Lisbon,2
Bar 35 Lisboa,Lisbon,1
Distinto,Lisbon,2
Conserva-te,Lisbon,2
Batata Doce,Lisbon,2
Fabrica Imperial,Lisbon,1
CervejAlfama,Lisbon,2
Antiga Wine Bar,Lisbon,2
Crouton,Lisbon,2
Blend,Lisbon,2
Diyalo,Lisbon,1
A Talisca,Lisbon,2
Benformoso Restaurante & Bar,Lisbon,2
Friends Bairro Alto,Lisbon,1
Afonso a Torres,Lisbon,1
Focca,Lisbon,1
Fabrica Pastel Feijao,Lisbon,1
Dhan Shiri Restaurant,Lisbon,1
A Avo Tinha,Lisbon,2
D&D Arte de Degustar,Lisbon,2
Cafe Bertrand,Lisbon,2
Everest Restaurante Sao Jorge,Lisbon,1
Don Costini - Cais do Sodre,Lisbon,2
Cinebairro,Lisbon,1
Brunchy,Lisbon,1
Calcada do Cacau,Lisbon,1
A Petisqueira da Boa-Hora,Lisbon,2
Ela Canela,Lisbon,2
Bengal Restaurante,Lisbon,2
A Viagem Petiscaria-Bar,Lisbon,2
Casa NanBan Sushi,Lisbon,2
Fabrica do Poema,Lisbon,2
EHL - Eight The Healt Lounge,Lisbon,1
Docel,Lisbon,1
Angel Kitchen,Lisbon,1
Estudantina Cafe,Lisbon,1
Alma Fidalga,Lisbon,2
Boca Cafe,Lisbon,2
Delisbon,Lisbon,2
Agapimu,Lisbon,1
Casa Vintage,Lisbon,2
Das Tripas Coracao,Lisbon,1
Bar Real,Lisbon,2
Crave,Lisbon,2
Electrico Cafe,Lisbon,2
Fari's Delice,Ljubljana,1
Druga Violina,Ljubljana,1
Cajna hisa,Ljubljana,2
Abi Falafel,Ljubljana,1
Gostilna As,Ljubljana,4
Ek Bistro,Ljubljana,2
Vineria Del Ponte,Ljubljana,2
Gostilna Dela,Ljubljana,1
Das ist Valter,Ljubljana,1
Wine bar Suklje,Ljubljana,2
Zbornica,Ljubljana,1
Azur - tratorija s picami,Ljubljana,2
Atelje,Ljubljana,4
